#separator:tab
#html:true
"한국어
[anki:tts lang=ko_KR speed=0.6]한국어[/anki:tts]

"	Корейский язык
"Корейский язык</br>
</hr>
"	"한국어
[anki:tts lang=ko_KR speed=0.8]한국어[/anki:tts]
"
"러시아어
[anki:tts lang=ko_KR speed=0.6]러시아어[/anki:tts]

"	Русский язык
"Русский язык</br>
</hr>
"	"러시아어
[anki:tts lang=ko_KR speed=0.8]러시아어[/anki:tts]
"
"영어
[anki:tts lang=ko_KR speed=0.6]영어[/anki:tts]

"	Английский язык
"Английский язык</br>
</hr>
"	"영어
[anki:tts lang=ko_KR speed=0.8]영어[/anki:tts]
"
"배우다
[anki:tts lang=ko_KR speed=0.6]배우다[/anki:tts]

"	<div>выучить; овладеть; научиться</div>
"<div>выучить; овладеть; научиться</div></br>
</hr>
"	"배우다
[anki:tts lang=ko_KR speed=0.8]배우다[/anki:tts]
"
"한국어를 배웁니다
[anki:tts lang=ko_KR speed=0.6]한국어를 배웁니다[/anki:tts]

"	Я учу / он/она учит корейский язык
"Я учу / он/она учит корейский язык</br>
</hr>
"	"한국어를 배웁니다
[anki:tts lang=ko_KR speed=0.8]한국어를 배웁니다[/anki:tts]
"
"문학
[anki:tts lang=ko_KR speed=0.6]문학[/anki:tts]

"	Литература
"Литература</br>
</hr>
"	"문학
[anki:tts lang=ko_KR speed=0.8]문학[/anki:tts]
"
"문학을 배웁니다
[anki:tts lang=ko_KR speed=0.6]문학을 배웁니다[/anki:tts]

"	Изучаю литературу
"Изучаю литературу</br>
</hr>
"	"문학을 배웁니다
[anki:tts lang=ko_KR speed=0.8]문학을 배웁니다[/anki:tts]
"
"네
[anki:tts lang=ko_KR speed=0.6]네[/anki:tts]

"	Да!
"Да!</br>
</hr>
"	"네
[anki:tts lang=ko_KR speed=0.8]네[/anki:tts]
"
"제 ...
[anki:tts lang=ko_KR speed=0.6]제 ...[/anki:tts]

"	Мой / моя / моё ...
"Мой / моя / моё ...</br>
</hr>
"	"제 ...
[anki:tts lang=ko_KR speed=0.8]제 ...[/anki:tts]
"
"제 이름
[anki:tts lang=ko_KR speed=0.6]제 이름[/anki:tts]

"	Моё имя
"Моё имя</br>
</hr>
"	"제 이름
[anki:tts lang=ko_KR speed=0.8]제 이름[/anki:tts]
"
"제 친구
[anki:tts lang=ko_KR speed=0.6]제 친구[/anki:tts]

"	Мой друг
"Мой друг</br>
</hr>
"	"제 친구
[anki:tts lang=ko_KR speed=0.8]제 친구[/anki:tts]
"
"여기
[anki:tts lang=ko_KR speed=0.6]여기[/anki:tts]

"	Здесь
"Здесь</br>
</hr>
"	"여기
[anki:tts lang=ko_KR speed=0.8]여기[/anki:tts]
"
"안녕하세요&nbsp;
[anki:tts lang=ko_KR speed=0.6]안녕하세요&nbsp;[/anki:tts]

"	Здравствуйте
"Здравствуйте</br>
</hr>
"	"안녕하세요&nbsp;
[anki:tts lang=ko_KR speed=0.8]안녕하세요&nbsp;[/anki:tts]
"
"안녕&nbsp;
[anki:tts lang=ko_KR speed=0.6]안녕&nbsp;[/anki:tts]

"	Привет!&nbsp;
"Привет!&nbsp;</br>
</hr>
"	"안녕&nbsp;
[anki:tts lang=ko_KR speed=0.8]안녕&nbsp;[/anki:tts]
"
"안녕하십니까
[anki:tts lang=ko_KR speed=0.6]안녕하십니까[/anki:tts]

"	"Здравствуйте!<br>(<i>букв. ""Пребываете в мире?""</i>)"
"Здравствуйте!<br>(<i>букв. ""Пребываете в мире?""</i>)</br>
</hr>
"	"안녕하십니까
[anki:tts lang=ko_KR speed=0.8]안녕하십니까[/anki:tts]
"
"이름이 무엇입니까 ?
[anki:tts lang=ko_KR speed=0.6]이름이 무엇입니까 ?[/anki:tts]

"	Как вас зовут?
"Как вас зовут?</br>
</hr>
"	"이름이 무엇입니까 ?
[anki:tts lang=ko_KR speed=0.8]이름이 무엇입니까 ?[/anki:tts]
"
"제 이름은 니콜라이입니다&nbsp;
[anki:tts lang=ko_KR speed=0.6]제 이름은 니콜라이입니다&nbsp;[/anki:tts]

"	Моё имя Николай
"Моё имя Николай</br>
</hr>
"	"제 이름은 니콜라이입니다&nbsp;
[anki:tts lang=ko_KR speed=0.8]제 이름은 니콜라이입니다&nbsp;[/anki:tts]
"
"하다
[anki:tts lang=ko_KR speed=0.6]하다[/anki:tts]

"	делать (что-либо); выполнять (что-либо)
"делать (что-либо); выполнять (что-либо)</br>
</hr>
"	"하다
[anki:tts lang=ko_KR speed=0.8]하다[/anki:tts]
"
"한국어를 하다&nbsp;
[anki:tts lang=ko_KR speed=0.6]한국어를 하다&nbsp;[/anki:tts]

"	говорить по-корейски
"говорить по-корейски</br>
</hr>
"	"한국어를 하다&nbsp;
[anki:tts lang=ko_KR speed=0.8]한국어를 하다&nbsp;[/anki:tts]
"
"한국어를 합니까?
[anki:tts lang=ko_KR speed=0.6]한국어를 합니까?[/anki:tts]

"	Вы говорите по-корейски?
"Вы говорите по-корейски?</br>
</hr>
"	"한국어를 합니까?
[anki:tts lang=ko_KR speed=0.8]한국어를 합니까?[/anki:tts]
"
"네, 조금 합니다 .
[anki:tts lang=ko_KR speed=0.6]네, 조금 합니다 .[/anki:tts]

"	"Да, немного говорю<br>(<i>ответ на вопрос ""вы говорите по-корейски?""</i>)"
"Да, немного говорю<br>(<i>ответ на вопрос ""вы говорите по-корейски?""</i>)</br>
</hr>
"	"네, 조금 합니다 .
[anki:tts lang=ko_KR speed=0.8]네, 조금 합니다 .[/anki:tts]
"
"영어를 잘 합니까?
[anki:tts lang=ko_KR speed=0.6]영어를 잘 합니까?[/anki:tts]

"	Вы хорошо говорите по английски?&nbsp;
"Вы хорошо говорите по английски?&nbsp;</br>
</hr>
"	"영어를 잘 합니까?
[anki:tts lang=ko_KR speed=0.8]영어를 잘 합니까?[/anki:tts]
"
"네, 영어를 잘 합니다&nbsp;
[anki:tts lang=ko_KR speed=0.6]네, 영어를 잘 합니다&nbsp;[/anki:tts]

"	Да, я хорошо говорю по английски&nbsp;
"Да, я хорошо говорю по английски&nbsp;</br>
</hr>
"	"네, 영어를 잘 합니다&nbsp;
[anki:tts lang=ko_KR speed=0.8]네, 영어를 잘 합니다&nbsp;[/anki:tts]
"
"이 사람이 누구입니까?
[anki:tts lang=ko_KR speed=0.6]이 사람이 누구입니까?[/anki:tts]

"	Кто этот человек?
"Кто этот человек?</br>
</hr>
"	"이 사람이 누구입니까?
[anki:tts lang=ko_KR speed=0.8]이 사람이 누구입니까?[/anki:tts]
"
"이 사람은 제 친구입니다&nbsp;
[anki:tts lang=ko_KR speed=0.6]이 사람은 제 친구입니다&nbsp;[/anki:tts]

"	Этот человек мой друг.
"Этот человек мой друг.</br>
</hr>
"	"이 사람은 제 친구입니다&nbsp;
[anki:tts lang=ko_KR speed=0.8]이 사람은 제 친구입니다&nbsp;[/anki:tts]
"
"누구입니까&nbsp;?
[anki:tts lang=ko_KR speed=0.6]누구입니까&nbsp;?[/anki:tts]

"	Кто это?
"Кто это?</br>
</hr>
"	"누구입니까&nbsp;?
[anki:tts lang=ko_KR speed=0.8]누구입니까&nbsp;?[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">하나</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">하나</span></div></div>[/anki:tts]

"	1
"1</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">하나</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">하나</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">둘</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">둘</span></div></div>[/anki:tts]

"	2
"2</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">둘</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">둘</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">셋</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">셋</span></div></div>[/anki:tts]

"	3
"3</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">셋</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">셋</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">넷</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">넷</span></div></div>[/anki:tts]

"	4
"4</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">넷</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">넷</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">다섯</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">다섯</span></div></div>[/anki:tts]

"	5
"5</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">다섯</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">다섯</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">여섯</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">여섯</span></div></div>[/anki:tts]

"	6
"6</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">여섯</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">여섯</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">일곱</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">일곱</span></div></div>[/anki:tts]

"	7
"7</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">일곱</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">일곱</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">여덟</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">여덟</span></div></div>[/anki:tts]

"	8
"8</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">여덟</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">여덟</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">아홉</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">아홉</span></div></div>[/anki:tts]

"	9
"9</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">아홉</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">아홉</span></div></div>[/anki:tts]
"
"<div><div><span style=""color: #a31515;"">열</span></div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div><span style=""color: #a31515;"">열</span></div></div>[/anki:tts]

"	10
"10</br>
</hr>
"	"<div><div><span style=""color: #a31515;"">열</span></div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div><span style=""color: #a31515;"">열</span></div></div>[/anki:tts]
"
"<div><div>열하나</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열하나</div></div>[/anki:tts]

"	11
"11</br>
</hr>
"	"<div><div>열하나</div></div>
[anki:tts lang=ko_KR speed=0.8]<div><div>열하나</div></div>[/anki:tts]
"
"<div><div>열둘</div></div>
[anki:tts lang=ko_KR speed=0.6]<div><div>열둘</div></div>[/anki:tts]

"	<div><div>12</div></div>
